time,weight
64,141.6
64,84.8
64,94
64,84.3
64,52.9
64,55.3
64,67.1
64,84.8
64,102.1
64,180.7
64,134.5
64,112.5
64,58.9
64,114.4
64,83.1
64,70
64,37.2
64,111.7
64,107.9
64,35.6
64,132.8
64,120.2
64,88.2
64,133.6
64,135.1
64,45.1
64,125.1
64,75.8
64,104.1
64,104.2
64,100.7
64,61.7
64,103.7
64,130.6
64,138.6
64,90.4
64,48.7
64,138.5
64,82.5
64,62.3
64,34.6
70,116.827
70,64.959
70,73.215
70,108.806
70,161.835
70,124.323
70,95.768
70,192.409
70,159.975
70,149.109
70,256.556
70,105.127
70,94.984
70,62.814
70,140.827
70,159.964
70,77.364
70,75.251
70,160.13
70,70.097
70,94.41
70,132.166
70,17.405
70,79.073
70,63.001
70,96.439
70,148.67
70,88.183
70,106.69
70,92.994
70,85.345
70,115.484
70,93.892
70,94.556
70,134.848
70,82.699
70,129.839
70,127.22
70,15.408
70,122.736
70,89.259
70,104.982
70,125.928
70,125.627
70,92.5
70,124.616
70,181.686
70,100.796
70,114.897
70,148.041
70,103.289
70,149.212
70,113.216
70,98.222
70,51.048
78,116.424
78,58.834
78,127.181
78,90.299
78,125.146
78,149.024
78,160.321
78,170.717
78,86.432
78,136.301
78,29.092
78,95.994
78,114.569
78,110.842
78,30.405
78,104.608
78,152.14
78,165.628
78,107.292
78,103.957
78,92.085
78,64.992
78,151.272
78,137.229
78,195.581
78,159.624
78,33.177
78,118.67
78,112.832
78,82.963
78,193.938
78,124.857
78,87.353
78,144.228
78,132.354
78,82.911
78,81.733
78,91.216
78,138.628
78,163.435
78,221.588
78,240.353
78,135.4
78,47.51
78,117.501
78,68.482
78,120.824
78,84.391
78,94.455
78,173.23
78,131.21
78,145.638
78,92.629
78,99.725
78,103.904
78,115.696
86,100.359
86,60.522
86,196.977
86,111.567
86,142.705
86,200.836
86,145.037
86,108.374
86,131.517
86,56.064
86,150.56
86,112.65
86,126.699
86,230.491
86,170.216
86,215.229
86,182.526
86,114.444
86,162.565
86,173.618
86,218.043
86,110.461
86,146.777
86,163.339
86,175.884
86,120.568
86,157.801
86,120.425
86,159.215
86,115.036
86,100.014
86,154.527
86,161.586
86,142.176
86,101.282
86,82.563
86,97.959
86,111.541
86,60.93
86,106.484
86,157.162
86,54.694
86,105.545
86,75.9
86,106.806
86,86.078
86,64.771
86,181.422
86,175.112
86,158.612
86,123.796
86,106.964
86,133.302
86,124.16
86,134.981
86,122.262
86,108.737
86,171.006
86,169.764
91,71
91,146.523
91,72.479
91,125.485
91,154.203
91,150.972
91,131.917
91,104.104
91,160.33
91,48.823
91,84.798
91,172.6
91,70.595
91,184.173
91,96.877
91,136.433
91,166.39
91,110.153
91,171.239
91,199.981
91,160.581
91,124.944
91,61.784
91,100.676
91,110.62
91,168.072
91,104.543
91,75.315
91,91.706
91,70.05
91,91.704
91,93.987
91,143.637
91,165.754
91,80.198
91,41.322
91,126.077
91,160.713
91,221.314
91,116.896
91,115.477
91,171.523
91,118.66
91,197.473
91,123.858
91,152.536
91,165.187
91,75.904
91,36.26
91,79.374
91,181.381
91,147.596
91,83.685
91,39.504
91,185.082
98,104.052
98,168.772
98,145.744
98,171.143
98,108.443
98,62.17
98,210.934
98,114.865
98,465.057
98,115.986
98,78.978
98,110.903
98,145.459
98,197.482
98,261.414
98,87.675
98,135.487
98,135.28
98,105.822
98,107.003
98,134.915
98,168.538
98,193.863
98,73.831
98,105.757
98,121.341
98,89.939
98,104.077
98,106.131
98,72.875
98,67.526
98,118.194
98,125.792
98,122.562
98,143.425
98,135.926
98,10.996
98,47.336
98,200.736
98,147.431
98,79.913
98,88.751
98,102.316
98,95.205
98,47.31
98,141.45
98,91.719
98,115.966
98,84.38
98,92.007
98,148.623
98,237.527
98,68.692
98,69.944
98,162.44
98,149.835
103,84.546
103,125.383
103,172.976
103,236.864
103,213.879
103,62.741
103,159.643
103,161.905
103,192.937
103,101.001
103,166.997
103,23.984
103,46.377
103,141.367
103,78.474
103,208.968
103,189.442
103,104.321
103,155.376
103,377.531
103,309.846
103,200.527
103,196.757
103,155.615
103,63.228
103,78.074
103,255.465
103,150.372
103,164.648
103,127.095
103,171.05
103,161.689
103,99.703
103,126.369
103,93.824
103,99.835
103,119.338
103,83.599
103,270.749
103,117.441
103,84.676
103,111.767
103,84.129
103,199.935
103,123.566
103,138.63
103,92.734
103,189.745
103,131.351
103,219.298
103,85.158
103,53.218
103,94.184
103,142.278
103,81.049
103,75.721
103,97.297
